,filename,bitwuzla,leanSAT,leanSAT-rw,leanSAT-bb,leanSAT-sat,leanSAT-lrat-t,leanSAT-lrat-c
5562,gadd2_proof.lean,142.224489,12990.331437,72.90449,5.34502,7082.522621,2805.218608,3001.890288
238,goverflowhmul_proof.lean,132.35814,4949.609696,47.03131,202.257949,867.246959,542.519809,2816.333621
5522,gadd2_proof.lean,77.493219,8925.737954,13.22582,2.8655,3314.674417,2761.545529,2812.748979
4279,gshlhdemand_proof.lean,175.899019,5495.864614,58.49376,52.10755,1670.334105,1108.138348,2479.429362
6597,gadd4_proof.lean,83.86101,9670.036861,24.21072,60.0441,5719.343737,1630.262434,1918.036452
4697,gudiv_select_to_select_shift_proof.lean,126.912729,12863.474102,58.90661,117.834859,9091.255406,1484.562484,1560.765234
5972,grem_proof.lean,2224.743141,9457.8247,88.32934,65.442179,5926.187944,1641.235464,1525.846622
3921,gadd_or_sub_proof.lean,475.98733,14309.458736,97.22889,1553.506526,9328.712322,397.297798,1481.700164
2493,gandhxorhor_proof.lean,245.211739,3129.959007,32.14828,214.072459,762.771427,20.39434,1404.492734
2494,gandhxorhor_proof.lean,195.53367,3265.744336,32.78814,244.62335,863.551036,23.58786,1395.050834
4277,gbitreverse_proof.lean,279.943419,3573.786435,205.223699,1348.470155,257.998869,57.12537,1374.914664
6600,gadd4_proof.lean,184.11283,2804.541029,109.30388,446.298748,320.673038,63.1509,1341.880265
2492,gandhxorhor_proof.lean,196.626659,3123.933718,33.71791,259.027059,762.615687,22.70151,1338.353015
2495,gandhxorhor_proof.lean,195.832899,2934.676688,32.50877,204.033479,613.904048,22.07256,1327.644654
2496,gandhxorhor_proof.lean,195.37214,2921.063608,32.276209,195.46252,663.421567,23.4069,1318.898225
2498,gandhxorhor_proof.lean,195.423119,2840.287109,32.22407,198.870199,612.952007,22.41068,1314.804545
2497,gandhxorhor_proof.lean,196.353509,2860.892358,32.27216,204.733979,613.313158,25.27801,1301.938744
5947,grem_proof.lean,1912.273542,6666.523433,47.74975,37.87232,3767.741925,1383.653634,1244.871465
187,gdivhshift_proof.lean,1197.932656,5578.716446,36.05268,15.4315,2963.3483,1258.770249,1244.432727
6599,gadd4_proof.lean,153.5146,2547.03688,78.07164,363.392388,320.732069,59.25716,1225.352535
5164,gshlhfactor_proof.lean,925.152366,4997.11778,69.08128,62.89276,2614.461169,928.996746,1107.917476
4156,gmul_full_64_proof.lean,168.572219,2553.09458,110.3836,392.602258,362.124268,75.01314,1106.471535
5335,gashrhlshr_proof.lean,94.23356,3518.782915,29.480579,51.90316,1660.967294,488.419848,1086.484695
6677,gsremhcanonicalize_proof.lean,1866.820963,8745.358055,195.6127,70.735169,6120.402485,1136.955465,1071.450796
5170,gshlhfactor_proof.lean,200.940919,3402.571637,38.6632,28.56363,1313.160704,847.332807,1061.711236
4090,gshifthlogic_proof.lean,141.408989,2730.045039,81.18128,618.647017,510.549537,80.58413,1050.805026
4088,gshifthlogic_proof.lean,125.43998,3301.081867,64.4561,425.743168,1211.895365,264.786689,1025.544746
2491,gandhxorhor_proof.lean,239.408139,2544.45424,37.45748,228.613319,761.138307,21.22815,990.747386
697,gexact_proof.lean,202.952699,2079.011701,75.351179,222.93862,361.163909,53.565329,931.726416
3135,gnarrowhmath_proof.lean,91.320929,6995.433241,31.8106,43.52808,4764.443281,1151.619825,926.772426
699,gexact_proof.lean,154.063999,2076.347965,76.091779,216.5612,310.296729,119.37306,923.914859
4089,gshifthlogic_proof.lean,128.67835,2239.618661,65.85175,432.669788,461.158818,70.3743,920.180346
696,gexact_proof.lean,152.768179,2040.664131,75.29696,215.834609,310.640809,114.661639,912.157486
698,gexact_proof.lean,152.757619,1929.802483,74.42549,216.831529,261.24218,42.369989,910.748047
695,gexact_proof.lean,153.747669,1912.564312,74.97948,208.366939,310.770609,41.28405,870.605026
6606,gadd4_proof.lean,869.166227,3894.334855,89.985949,124.20153,2022.209883,690.234338,854.715466
993,gapinthshifthsimplify_proof.lean,288.741219,3890.130939,30.9147,19.84066,1870.791844,1007.823617,828.424448
5629,gapinthdiv1_proof.lean,81.74539,3191.043539,28.02778,35.333349,1672.154005,494.580089,810.428516
5163,gshlhfactor_proof.lean,534.640438,4193.860863,80.952559,54.96882,2461.26353,582.555298,805.692877
694,gexact_proof.lean,150.99929,1923.991883,74.32269,224.829749,309.472288,122.60935,789.312257
6602,gadd4_proof.lean,126.303819,1710.059013,57.225519,322.292739,220.764349,52.16382,788.320777
4087,gshifthlogic_proof.lean,117.82636,1721.511353,56.847719,300.003689,259.941849,56.3264,760.441527
